靡ㄩ嘿,虏嘿,るら,щ獺瞯%,щ獺计(),щ獺禦秈眎计,щ獺禦芥禬(),щ獺计カ(κ窾),щ獺芥眎计,瑈硄计(),щ獺禦芥禬カ(κ窾),璸计(),щ獺秅锣瞯%
6244   ,璟瓆         ,20030822,     8.34,     2234,        0,        0,      175.37,        0,    26785,     0.00,     2391,     0.00
6244   ,璟瓆         ,20030825,     8.12,     2175,        0,      -59,      170.74,       59,    26785,    -4.63,     2332,     0.11
6244   ,璟瓆         ,20030826,     7.94,     2126,        8,      -49,      161.58,       57,    26785,    -3.72,     2283,     0.12
6244   ,璟瓆         ,20030827,     7.96,     2131,        5,        5,      165.15,        0,    26785,     0.39,     2288,     0.01
6244   ,璟瓆         ,20030828,     7.97,     2136,        5,        5,      167.68,        0,    26785,     0.39,     2293,     0.01
6244   ,璟瓆         ,20030829,     8.22,     2201,       65,       65,      177.18,        0,    26785,     5.23,     2358,     0.12
6244   ,璟瓆         ,20030901,     8.02,     2148,        0,      -53,      166.47,       53,    26785,    -4.11,     2305,     0.10
6244   ,璟瓆         ,20030902,     7.66,     2052,        0,      -96,      156.98,       96,    26785,    -7.34,     2209,     0.18
6244   ,璟瓆         ,20030903,     7.06,     1891,        0,     -161,      138.99,      161,    26785,   -11.83,     2048,     0.30
6244   ,璟瓆         ,20030904,     6.99,     1873,        0,      -18,      139.54,       18,    26785,    -1.34,     2030,     0.03
6244   ,璟瓆         ,20030905,     6.88,     1843,        0,      -30,      138.23,       30,    26785,    -2.25,     2000,     0.06
6244   ,璟瓆         ,20030908,     6.88,     1843,        0,        0,      136.38,        0,    26785,     0.00,     2000,     0.00
6244   ,璟瓆         ,20030909,     6.81,     1823,        0,      -20,      133.08,       20,    26785,    -1.46,     1980,     0.04
6244   ,璟瓆         ,20030910,     6.75,     1809,        6,      -14,      129.34,       20,    26785,    -1.00,     1966,     0.05
6244   ,璟瓆         ,20030912,     6.74,     1805,        0,       -4,      127.25,        4,    26785,    -0.28,     1962,     0.01
6244   ,璟瓆         ,20030915,     6.47,     1733,        0,      -72,      128.24,       72,    26785,    -5.33,     1890,     0.13
6244   ,璟瓆         ,20030916,     6.47,     1733,        0,        0,      126.51,        0,    26785,     0.00,     1890,     0.00
6244   ,璟瓆         ,20030917,     6.34,     1698,        0,      -35,      125.65,       35,    26785,    -2.59,     1855,     0.07
6244   ,璟瓆         ,20030918,     6.23,     1670,        0,      -28,      121.91,       28,    26785,    -2.04,     1827,     0.05
6244   ,璟瓆         ,20030919,     6.00,     1606,        0,      -64,      117.24,       64,    26785,    -4.67,     1763,     0.12
6244   ,璟瓆         ,20030922,     6.00,     1606,        0,        0,      114.83,        0,    26785,     0.00,     1763,     0.00
6244   ,璟瓆         ,20030923,     6.22,     1667,       61,       61,      126.69,        0,    26785,     4.64,     1824,     0.11
6244   ,璟瓆         ,20030924,     6.56,     1756,       89,       89,      135.21,        0,    26785,     6.85,     1913,     0.17
6244   ,璟瓆         ,20030925,     7.03,     1883,      127,      127,      144.99,        0,    26785,     9.78,     2040,     0.24
6244   ,璟瓆         ,20030926,     7.12,     1908,       25,       25,      147.87,        0,    26785,     1.94,     2065,     0.05
6244   ,璟瓆         ,20030929,     7.31,     1958,       50,       50,      149.79,        0,    26785,     3.83,     2115,     0.09
6244   ,璟瓆         ,20030930,     7.66,     2052,      100,       90,      155.95,       10,    26785,     6.84,     2209,     0.21
6244   ,璟瓆         ,20031001,     7.58,     2030,        0,      -22,      150.22,       22,    26785,    -1.63,     2232,     0.04
6244   ,璟瓆         ,20031002,     7.58,     2030,        0,        0,      149.21,        0,    26785,     0.00,     2245,     0.00
6244   ,璟瓆         ,20031003,     7.53,     2018,        0,      -12,      153.37,       12,    26785,    -0.91,     2346,     0.02
6244   ,璟瓆         ,20031006,     7.58,     2031,       13,       13,      155.37,        0,    26785,     0.99,     2359,     0.02
6244   ,璟瓆         ,20031007,     7.44,     1993,        2,      -38,      149.48,       40,    26785,    -2.85,     2372,     0.08
6244   ,璟瓆         ,20031008,     7.30,     1955,        0,      -38,      146.63,       38,    26785,    -2.85,     2334,     0.07
6244   ,璟瓆         ,20031009,     7.31,     1958,        3,        3,      148.81,        0,    26785,     0.23,     2337,     0.01
6244   ,璟瓆         ,20031013,     7.35,     1970,       12,       12,      150.71,        0,    26785,     0.92,     2369,     0.02
6244   ,璟瓆         ,20031014,     7.32,     1960,        -,      -10,      150.92,        -,    26785,    -0.77,     2527,        -
6244   ,璟瓆         ,20031015,     7.32,     1960,        0,        0,      150.92,        0,    26785,     0.00,     2530,     0.00
6244   ,璟瓆         ,20031016,     7.37,     1973,        -,       13,      152.91,        -,    26785,     1.01,     2545,        -
6244   ,璟瓆         ,20031017,     7.75,     2076,      116,      103,      168.16,       13,    26785,     8.34,     2657,     0.24
6244   ,璟瓆         ,20031020,     8.03,     2152,       76,       76,      173.24,        0,    26785,     6.12,     2748,     0.14
6244   ,璟瓆         ,20031021,     8.04,     2154,        2,        2,      169.09,        0,    26785,     0.16,     2750,     0.00
6244   ,璟瓆         ,20031022,     8.13,     2177,       23,       23,      173.07,        0,    26785,     1.83,     2773,     0.04
6244   ,璟瓆         ,20031023,     8.05,     2156,        0,      -21,      169.25,       21,    26785,    -1.65,     2752,     0.04
6244   ,璟瓆         ,20031024,     6.69,     2159,        5,        3,      169.48,        2,    32293,     0.24,     2786,     0.01
6244   ,璟瓆         ,20031027,     6.69,     2159,        0,        0,      168.40,        0,    32293,     0.00,     2786,     0.00
6244   ,璟瓆         ,20031028,     6.75,     2179,       40,       20,      173.23,       20,    32293,     1.59,     2806,     0.09
6244   ,璟瓆         ,20031029,     6.75,     2179,        0,        0,      177.59,        0,    32293,     0.00,     2806,     0.00
6244   ,璟瓆         ,20031030,     6.75,     2179,        0,        0,      173.23,        0,    32293,     0.00,     2806,     0.00
6244   ,璟瓆         ,20031031,     6.77,     2185,        6,        6,      172.62,        0,    32293,     0.47,     2375,     0.01
6244   ,璟瓆         ,20031103,     6.78,     2188,        3,        3,      168.48,        0,    32293,     0.23,     2378,     0.00
6244   ,璟瓆         ,20031104,     6.51,     2103,        0,      -85,      160.88,       85,    32293,    -6.50,     2293,     0.13
6244   ,璟瓆         ,20031105,     6.42,     2073,        0,      -30,      160.66,       30,    32293,    -2.33,     2261,     0.05
6244   ,璟瓆         ,20031106,     6.43,     2077,        4,        4,      160.97,        0,    32293,     0.31,     2265,     0.01
6244   ,璟瓆         ,20031107,     6.40,     2067,        0,      -10,      157.09,       10,    32293,    -0.76,     2255,     0.02
6244   ,璟瓆         ,20031110,     6.96,     2248,      227,      181,      182.09,       46,    32293,    14.66,     2437,     0.42
6244   ,璟瓆         ,20031111,     7.09,     2288,       40,       40,      188.76,        0,    32293,     3.30,     2477,     0.06
6244   ,璟瓆         ,20031112,     7.41,     2392,      104,      104,      202.12,        0,    32293,     8.79,     2630,     0.16
6244   ,璟瓆         ,20031113,     7.42,     2396,        4,        4,      207.25,        0,    32293,     0.35,     2672,     0.01
6244   ,璟瓆         ,20031114,     8.13,     2626,      230,      230,      238.97,        0,    32293,    20.93,     3144,     0.36
6244   ,璟瓆         ,20031117,     8.41,     2716,       90,       90,      252.59,        0,    32293,     8.37,     3240,     0.14
6244   ,璟瓆         ,20031118,     8.48,     2739,       50,       23,      249.25,       27,    32293,     2.09,     3340,     0.12
6244   ,璟瓆         ,20031119,     8.42,     2719,        0,      -20,      247.43,       20,    32293,    -1.82,     3365,     0.03
6244   ,璟瓆         ,20031120,     8.29,     2676,        0,      -43,      242.18,       43,    32293,    -3.89,     3372,     0.07
6244   ,璟瓆         ,20031121,     8.17,     2639,        0,      -37,      242.79,       37,    32293,    -3.40,     3385,     0.06
6244   ,璟瓆         ,20031124,     8.12,     2621,       30,      -18,      239.82,       48,    32293,    -1.65,     3401,     0.12
6244   ,璟瓆         ,20031125,     8.05,     2601,        0,      -20,      235.39,       20,    32293,    -1.81,     3407,     0.03
6244   ,璟瓆         ,20031126,     7.96,     2572,        0,      -29,      232.77,       29,    32293,    -2.62,     3434,     0.04
6244   ,璟瓆         ,20031127,     7.96,     2572,        0,        0,      228.91,        0,    32293,     0.00,     3468,     0.00
6244   ,璟瓆         ,20031128,     7.95,     2567,        0,       -5,      225.90,        5,    32293,    -0.44,     2755,     0.01
6244   ,璟瓆         ,20031201,     7.95,     2567,        0,        0,      236.16,        0,    32293,     0.00,     2755,     0.00
6244   ,璟瓆         ,20031202,     7.92,     2557,        0,      -10,      228.85,       10,    32293,    -0.90,     2745,     0.02
6244   ,璟瓆         ,20031203,     7.98,     2578,       60,       21,      238.47,       39,    32293,     1.94,     2766,     0.15
6244   ,璟瓆         ,20031204,     7.92,     2557,        0,      -21,      231.41,       21,    32293,    -1.90,     2745,     0.03
6244   ,璟瓆         ,20031205,     7.98,     2577,       20,       20,      230.64,        0,    32293,     1.79,     2765,     0.03
6244   ,璟瓆         ,20031208,     7.98,     2577,        0,        0,      229.35,        0,    32293,     0.00,     2765,     0.00
6244   ,璟瓆         ,20031209,     7.97,     2575,        5,       -2,      229.18,        7,    32293,    -0.18,     2763,     0.02
6244   ,璟瓆         ,20031210,     7.97,     2575,        0,        0,      229.18,        0,    32293,     0.00,     2763,     0.00
6244   ,璟瓆         ,20031211,     7.99,     2580,       10,        5,      232.20,        5,    32293,     0.45,     2768,     0.02
6244   ,璟瓆         ,20031212,     7.99,     2580,        0,        0,      234.78,        0,    32293,     0.00,     2768,     0.00
6244   ,璟瓆         ,20031215,     7.99,     2580,        0,        0,      230.91,        0,    32293,     0.00,     2768,     0.00
6244   ,璟瓆         ,20031216,     7.99,     2579,        -,       -1,      229.53,        -,    32293,    -0.09,     2767,        -
6244   ,璟瓆         ,20031217,     7.99,     2579,        0,        0,      228.24,        0,    32293,     0.00,     2767,     0.00
6244   ,璟瓆         ,20031218,     7.97,     2573,        0,       -6,      226.42,        6,    32293,    -0.53,     2761,     0.01
6244   ,璟瓆         ,20031219,     7.93,     2560,       10,      -13,      225.28,       23,    32293,    -1.14,     2748,     0.05
6244   ,璟瓆         ,20031222,     7.93,     2560,        0,        0,      225.28,        0,    32293,     0.00,     2748,     0.00
6244   ,璟瓆         ,20031223,     7.97,     2575,       15,       15,      227.89,        0,    32293,     1.33,     2763,     0.02
6244   ,璟瓆         ,20031224,     8.05,     2600,       25,       25,      232.70,        0,    32293,     2.24,     2788,     0.04
6244   ,璟瓆         ,20031225,     8.12,     2621,       21,       21,      233.27,        0,    32293,     1.87,     2809,     0.03
6244   ,璟瓆         ,20031226,     8.12,     2621,        0,        0,      230.65,        0,    32293,     0.00,     2809,     0.00
6244   ,璟瓆         ,20031229,     8.02,     2591,        0,      -30,      212.46,       30,    32293,    -2.46,     2779,     0.05
6244   ,璟瓆         ,20031230,     7.97,     2575,       10,      -16,      218.88,       26,    32293,    -1.36,     2763,     0.06
6244   ,璟瓆         ,20031231,     7.98,     2578,        0,        0,      219.13,        0,    32293,     0.00,     3566,     0.00
6244   ,璟瓆         ,20040102,     7.89,     2548,        0,      -30,      219.13,       30,    32293,    -2.58,     3536,     0.05
6244   ,璟瓆         ,20040105,     7.89,     2548,        0,        0,      215.31,        0,    32293,     0.00,     3531,     0.00
6244   ,璟瓆         ,20040106,     7.80,     2519,        0,      -29,      211.60,       29,    32293,    -2.44,     3502,     0.04
6244   ,璟瓆         ,20040107,     7.74,     2501,        0,      -18,      210.08,       18,    32293,    -1.51,     3484,     0.03
6244   ,璟瓆         ,20040108,     7.65,     2469,        4,      -32,      203.69,       36,    32293,    -2.64,     3452,     0.06
6244   ,璟瓆         ,20040109,     7.22,     2332,       10,     -137,      192.39,      147,    32293,   -11.32,     3315,     0.24
6244   ,璟瓆         ,20040112,     6.56,     2118,       44,     -214,      175.79,      258,    32293,   -17.76,     3101,     0.47
6244   ,璟瓆         ,20040113,     5.94,     1918,       10,     -200,      159.19,      210,    32293,   -16.60,     2901,     0.34
6244   ,璟瓆         ,20040114,     5.77,     1863,       20,      -55,      152.77,       75,    32293,    -4.52,     2846,     0.15
6244   ,璟瓆         ,20040115,     5.56,     1797,        0,      -66,      149.15,       66,    32293,    -5.51,     2756,     0.10
6244   ,璟瓆         ,20040116,     5.54,     1789,        0,       -8,      148.49,        8,    32293,    -0.66,     2686,     0.01
6244   ,璟瓆         ,20040127,     5.56,     1794,        5,        5,      146.21,        0,    32293,     0.41,     2706,     0.01
6244   ,璟瓆         ,20040128,     5.45,     1761,        6,      -33,      142.64,       39,    32293,    -2.67,     2616,     0.07
6244   ,璟瓆         ,20040129,     5.61,     1811,       50,       50,      146.69,        0,    32293,     4.05,     2604,     0.08
6244   ,璟瓆         ,20040130,     5.57,     1800,       10,      -11,      146.70,       21,    32293,    -0.90,     1988,     0.05
6244   ,璟瓆         ,20040202,     5.62,     1815,       15,       15,      147.92,        0,    32293,     1.22,     2003,     0.02
6244   ,璟瓆         ,20040203,     5.73,     1850,       40,       35,      155.40,        5,    32293,     2.94,     2038,     0.07
6244   ,璟瓆         ,20040204,     5.74,     1853,        3,        3,      155.65,        0,    32293,     0.25,     2041,     0.00
6244   ,璟瓆         ,20040205,     5.75,     1857,       14,        4,      154.13,       10,    32293,     0.33,     2045,     0.04
6244   ,璟瓆         ,20040206,     5.75,     1857,        0,        0,      154.13,        0,    32293,     0.00,     2045,     0.00
6244   ,璟瓆         ,20040209,     5.77,     1862,        5,        5,      154.55,        0,    32293,     0.41,     2050,     0.01
6244   ,璟瓆         ,20040210,     5.77,     1862,        0,        0,      152.68,        0,    32293,     0.00,     2050,     0.00
6244   ,璟瓆         ,20040211,     5.69,     1837,        5,      -25,      151.55,       30,    32293,    -2.06,     2025,     0.05
6244   ,璟瓆         ,20040212,     5.68,     1833,        0,       -4,      150.31,        4,    32293,    -0.33,     2021,     0.01
6244   ,璟瓆         ,20040213,     5.68,     1834,        6,        1,      152.22,        5,    32293,     0.08,     2022,     0.02
6244   ,璟瓆         ,20040216,     5.56,     1794,        0,      -40,      148.01,       40,    32293,    -3.30,     1982,     0.06
6244   ,璟瓆         ,20040217,     5.30,     1711,        0,      -83,      140.30,       83,    32293,    -6.81,     1899,     0.13
6244   ,璟瓆         ,20040218,     4.15,     1341,        7,     -370,      109.96,      377,    32293,   -30.34,     1529,     0.59
6244   ,璟瓆         ,20040219,     4.03,     1301,       10,      -40,      109.93,       50,    32293,    -3.38,     1489,     0.09
6244   ,璟瓆         ,20040220,     3.82,     1234,        0,      -67,      103.66,       67,    32293,    -5.63,     1422,     0.10
6244   ,璟瓆         ,20040223,     3.68,     1189,       10,      -45,       99.88,       55,    32293,    -3.78,     1377,     0.10
6244   ,璟瓆         ,20040224,     3.70,     1194,        5,        5,      100.30,        0,    32293,     0.42,     1382,     0.01
6244   ,璟瓆         ,20040225,     3.71,     1199,        5,        5,      100.12,        0,    32293,     0.42,     1387,     0.01
6244   ,璟瓆         ,20040226,     3.64,     1174,        2,      -25,       97.44,       27,    32293,    -2.08,     1362,     0.04
6244   ,璟瓆         ,20040227,     3.39,     1096,        3,      -78,       90.42,       81,    32293,    -6.44,     1284,     0.13
6244   ,璟瓆         ,20040301,     3.18,     1028,        0,      -68,       84.30,       68,    32293,    -5.58,     1216,     0.11
6244   ,璟瓆         ,20040302,     3.20,     1033,        5,        5,       84.71,        0,    32293,     0.41,     1221,     0.01
6244   ,璟瓆         ,20040303,     3.12,     1008,       45,      -25,       82.15,       70,    32293,    -2.04,     1196,     0.18
6244   ,璟瓆         ,20040304,     3.04,      981,        3,      -27,       79.95,       30,    32293,    -2.20,     1169,     0.05
6244   ,璟瓆         ,20040305,     2.94,      951,        5,      -30,       77.51,       35,    32293,    -2.45,     1139,     0.06
6244   ,璟瓆         ,20040308,     2.96,      956,        5,        5,       78.39,        0,    32293,     0.41,     1144,     0.01
6244   ,璟瓆         ,20040309,     2.98,      961,        5,        5,       78.80,        0,    32293,     0.41,     1149,     0.01
6244   ,璟瓆         ,20040310,     3.00,      969,        8,        8,       78.49,        0,    32293,     0.65,     1157,     0.01
6244   ,璟瓆         ,20040311,     3.00,      969,        0,        0,       79.94,        0,    32293,     0.00,     1157,     0.00
6244   ,璟瓆         ,20040312,     3.02,      976,        7,        7,       80.03,        0,    32293,     0.57,     1164,     0.01
6244   ,璟瓆         ,20040315,     3.02,      976,        0,        0,       80.03,        0,    32293,     0.00,     1164,     0.00
6244   ,璟瓆         ,20040316,     3.02,      976,        0,        0,       79.54,        0,    32293,     0.00,     1164,     0.00
6244   ,璟瓆         ,20040317,     3.04,      981,        5,        5,       80.44,        0,    32293,     0.41,     1169,     0.01
6244   ,璟瓆         ,20040318,     3.07,      991,       10,       10,       82.25,        0,    32293,     0.83,     1179,     0.02
6244   ,璟瓆         ,20040319,     3.07,      991,        0,        0,       82.75,        0,    32293,     0.00,     1179,     0.00
6244   ,璟瓆         ,20040322,     3.07,      991,        0,        0,       77.30,        0,    32293,     0.00,     1179,     0.00
6244   ,璟瓆         ,20040323,     1.95,      631,       20,     -360,       48.59,      380,    32293,   -27.72,      819,     0.62
6244   ,璟瓆         ,20040324,     1.97,      635,        4,        4,       49.85,        0,    32293,     0.31,      831,     0.01
6244   ,璟瓆         ,20040325,     2.03,      655,       20,       20,       51.42,        0,    32293,     1.57,      851,     0.03
6244   ,璟瓆         ,20040326,     2.04,      659,        4,        4,       51.40,        0,    32293,     0.31,      855,     0.01
6244   ,璟瓆         ,20040329,     2.04,      659,        0,        0,       54.37,        0,    32293,     0.00,      855,     0.00
6244   ,璟瓆         ,20040330,     2.05,      662,        3,        3,       54.28,        0,    32293,     0.25,      858,     0.00
6244   ,璟瓆         ,20040331,     2.03,      656,        5,      -24,       52.81,       29,    32293,    -1.93,      844,     0.05
6244   ,璟瓆         ,20040401,     2.04,      659,        3,        3,       53.71,        0,    32293,     0.24,      847,     0.00
6244   ,璟瓆         ,20040402,     2.03,      656,        5,       -3,       53.46,        8,    32293,    -0.24,      844,     0.02
6244   ,璟瓆         ,20040405,     2.03,      656,        0,        0,       54.45,        0,    32293,     0.00,      844,     0.00
6244   ,璟瓆         ,20040406,     2.03,      656,        0,        0,       55.76,        0,    32293,     0.00,      864,     0.00
6244   ,璟瓆         ,20040407,     2.03,      656,        0,        0,       55.10,        0,    32293,     0.00,      864,     0.00
6244   ,璟瓆         ,20040408,     2.14,      691,       35,       35,       57.70,        0,    32293,     2.92,      899,     0.05
6244   ,璟瓆         ,20040409,     2.17,      701,       10,       10,       58.88,        0,    32293,     0.84,      909,     0.02
6244   ,璟瓆         ,20040412,     2.48,      801,      100,      100,       71.69,        0,    32293,     8.95,     1229,     0.15
6244   ,璟瓆         ,20040413,     2.88,      931,      130,      130,       85.65,        0,    32293,    11.96,     1344,     0.20
6244   ,璟瓆         ,20040414,     2.94,      948,      120,       17,       84.85,      103,    32293,     1.52,     1361,     0.35
6244   ,璟瓆         ,20040415,     2.92,      944,        0,       -4,       83.54,        4,    32293,    -0.35,     1357,     0.01
6244   ,璟瓆         ,20040416,     2.89,      934,        0,      -10,       83.13,       10,    32293,    -0.89,     1347,     0.02
6244   ,璟瓆         ,20040419,     2.75,      889,        0,      -45,       78.23,       45,    32293,    -3.96,     1302,     0.07
6244   ,璟瓆         ,20040420,     2.74,      884,       35,       -5,       76.47,       40,    32293,    -0.43,     1297,     0.12
6244   ,璟瓆         ,20040421,     2.74,      884,        0,        0,       76.91,        0,    32293,     0.00,     1297,     0.00
6244   ,璟瓆         ,20040422,     2.74,      884,        0,        0,       76.02,        0,    32293,     0.00,     1297,     0.00
6244   ,璟瓆         ,20040423,     2.74,      884,        0,        0,       76.02,        0,    32293,     0.00,     1297,     0.00
